District ID,District Name,School ID,School Name,,School Year,Total,4 Year Olds Program,,Early Kindergarten,Kindergarten,TotalK,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
1134,Portland Public Schools,1356,Portland High School,,2011-12,919,-,,-,-,-,-,-,-,-,-,-,-,-,221,253,221,224
1134,Portland Public Schools,1350,Presumpscot School,,2011-12,271,-,,-,35,35,56,53,32,47,48,-,-,-,-,-,-,-
1134,Portland Public Schools,1359,Riverton School,,2011-12,397,30,,-,56,56,65,70,60,57,59,-,-,-,-,-,-,-
1136,Princeton Public Schools,1363,Princeton Elementary School,,2011-12,113,13,,-,14,14,14,11,16,8,12,9,8,8,-,-,-,-
1143,Robbinston Public Schools,1372,Robbinston Grade School,,2011-12,49,-,,-,8,8,5,4,7,2,5,8,5,5,-,-,-,-
3152,RSU 01 - LKRSU,1170,Bath Middle School,,2011-12,382,-,,-,-,-,-,-,-,-,-,129,133,120,-,-,-,-
3152,RSU 01 - LKRSU,1169,Dike-Newell School,,2011-12,313,47,,-,94,94,91,81,-,-,-,-,-,-,-,-,-,-
3152,RSU 01 - LKRSU,1168,Fisher-Mitchell School,,2011-12,227,-,,-,-,-,-,-,73,71,83,-,-,-,-,-,-,-
3152,RSU 01 - LKRSU,1171,Morse High School,,2011-12,642,-,,-,-,-,-,-,-,-,-,-,-,-,155,149,160,178
3152,RSU 01 - LKRSU,1339,Phippsburg Elementary School,,2011-12,93,6,,-,13,13,15,12,18,16,13,-,-,-,-,-,-,-
3152,RSU 01 - LKRSU,1426,West Bath School,,2011-12,140,7,,-,30,30,20,28,21,18,16,-,-,-,-,-,-,-
3152,RSU 01 - LKRSU,1452,Woolwich Central School,,2011-12,331,12,,-,39,39,32,38,41,23,28,35,43,40,-,-,-,-
3156,RSU 02,1224,Dresden Elementary School,,2011-12,92,8,,-,13,13,13,13,14,14,17,-,-,-,-,-,-,-
3156,RSU 02,1536,Hall-Dale Elementary School,,2011-12,354,2,,4,45,49,63,67,55,56,62,-,-,-,-,-,-,-
3156,RSU 02,1534,Hall-Dale High School,,2011-12,310,-,,-,-,-,-,-,-,-,-,-,-,-,78,67,85,80
3156,RSU 02,1535,Hall-Dale Middle School,,2011-12,215,-,,-,-,-,-,-,-,-,-,81,56,78,-,-,-,-
3156,RSU 02,1311,Henry L Cottrell School,,2011-12,205,32,,-,50,50,42,38,43,-,-,-,-,-,-,-,-,-
3156,RSU 02,1369,Marcia Buker School,,2011-12,274,29,,-,42,42,40,42,43,35,43,-,-,-,-,-,-,-
3156,RSU 02,1312,Monmouth Academy,,2011-12,236,-,,-,-,-,-,-,-,-,-,-,-,-,63,65,65,43
3156,RSU 02,1313,Monmouth Middle School,,2011-12,268,-,,-,-,-,-,-,-,50,54,66,48,50,-,-,-,-
3156,RSU 02,1370,Richmond High School,,2011-12,141,-,,-,-,-,-,-,-,-,-,-,-,-,40,31,42,28
3156,RSU 02,1371,Richmond Middle School,,2011-12,117,-,,-,-,-,-,-,-,-,-,37,45,35,-,-,-,-
1197,RSU 03/MSAD 03,1472,Monroe Elementary School,,2011-12,57,4,,-,14,14,6,13,5,11,4,-,-,-,-,-,-,-
1197,RSU 03/MSAD 03,1470,Morse Memorial School,,2011-12,123,13,,-,25,25,19,10,15,23,18,-,-,-,-,-,-,-
1197,RSU 03/MSAD 03,1476,Mt View Elementary School,,2011-12,269,-,,-,43,43,48,39,46,49,44,-,-,-,-,-,-,-
1197,RSU 03/MSAD 03,1475,Mt View High School,,2011-12,446,-,,-,-,-,-,-,-,-,-,-,-,-,121,111,105,109
