District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1149,Scarborough Public Schools,1392,Wentworth School,null,2006-07,787,-,null,-,null,-,null,null,255,251,281,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Wentworth School
1155,South Portland Public Schools,1403,Daniel F. Mahoney Middle School,null,2006-07,342,-,null,-,null,-,null,null,null,null,null,108,107,127,null,null,null,null,2006-2007.csv,9/1/06,Daniel F. Mahoney Middle School
1155,South Portland Public Schools,1404,South Portland High School,null,2006-07,"1,004",-,null,-,null,-,null,null,null,null,null,null,null,null,269,257,253,225,2006-2007.csv,9/1/06,South Portland High School
1155,South Portland Public Schools,1407,Memorial Middle School,null,2006-07,337,-,null,-,null,-,null,null,null,null,null,107,126,104,null,null,null,null,2006-2007.csv,9/1/06,Memorial Middle School
1170,Waterville Public Schools,1418,Albert S Hall School,null,2006-07,269,-,null,-,null,-,null,null,null,127,142,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Albert S Hall School
1170,Waterville Public Schools,1419,Waterville Senior High School,null,2006-07,660,-,null,-,null,-,null,null,null,null,null,null,null,null,191,176,159,134,2006-2007.csv,9/1/06,Waterville Senior High School
1170,Waterville Public Schools,1421,Waterville Junior High School,null,2006-07,423,-,null,-,null,-,null,null,null,null,null,143,142,138,null,null,null,null,2006-2007.csv,9/1/06,Waterville Junior High School
1172,Sabattus School Department,1878,Sabattus Central School,null,2006-07,328,-,null,-,null,-,null,null,52,51,45,61,56,63,null,null,null,null,2006-2007.csv,9/1/06,Sabattus Central School
1175,Westbrook Public Schools,1429,Westbrook Middle School,null,2006-07,576,-,null,-,null,-,null,null,null,null,null,182,178,216,null,null,null,null,2006-2007.csv,9/1/06,Westbrook Middle School
1175,Westbrook Public Schools,1430,Westbrook High School,null,2006-07,837,-,null,-,null,-,null,null,null,null,null,null,null,null,291,200,177,169,2006-2007.csv,9/1/06,Westbrook High School
1175,Westbrook Public Schools,1431,Oxford-Cumberland Canal School,null,2006-07,224,-,null,-,null,-,null,null,71,69,84,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Oxford-Cumberland Canal School
1175,Westbrook Public Schools,1432,Congin School,null,2006-07,341,-,null,-,null,-,null,null,115,104,122,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Congin School
1178,Whitefield School Department,1938,Union 132 Secondary School,null,2006-07,null,-,null,-,null,-,null,null,null,null,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Union 132 Secondary School
1181,Windham School Department,1435,Windham High School,null,2006-07,"1,012",-,null,-,null,-,null,null,null,null,null,null,null,null,315,240,241,216,2006-2007.csv,9/1/06,Windham High School
1181,Windham School Department,1436,Manchester School,null,2006-07,431,-,null,-,null,-,null,null,null,208,223,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Manchester School
1181,Windham School Department,1437,Windham Middle School,null,2006-07,612,-,null,-,null,-,null,null,null,null,null,189,214,209,null,null,null,null,2006-2007.csv,9/1/06,Windham Middle School
1183,Winslow Schools,1441,Winslow High School,null,2006-07,533,-,null,-,null,-,null,null,null,null,null,null,null,null,135,135,135,128,2006-2007.csv,9/1/06,Winslow High School
1183,Winslow Schools,1442,Winslow Junior High School,null,2006-07,288,-,null,-,null,-,null,null,null,null,null,78,102,108,null,null,null,null,2006-2007.csv,9/1/06,Winslow Junior High School
1185,Winthrop Public Schools,1446,Winthrop High School,null,2006-07,326,-,null,-,null,-,null,null,null,null,null,null,null,null,73,80,83,90,2006-2007.csv,9/1/06,Winthrop High School
1185,Winthrop Public Schools,1447,Winthrop Middle School,null,2006-07,193,-,null,-,null,-,null,null,null,null,null,67,53,73,null,null,null,null,2006-2007.csv,9/1/06,Winthrop Middle School
1186,Wiscasset Public Schools,1448,Wiscasset Middle School,null,2006-07,213,-,null,-,null,-,null,null,null,null,49,39,58,67,null,null,null,null,2006-2007.csv,9/1/06,Wiscasset high/middle
1186,Wiscasset Public Schools,1449,Wiscasset High School,null,2006-07,323,-,null,-,null,-,null,null,null,null,null,null,null,null,83,79,98,63,2006-2007.csv,9/1/06,Wiscasset high/middle
1190,Yarmouth Schools,1454,Yarmouth High School,null,2006-07,492,-,null,-,null,-,null,null,null,null,null,null,null,null,121,123,129,119,2006-2007.csv,9/1/06,Yarmouth High School
1190,Yarmouth Schools,1455,Yarmouth Elementary School,null,2006-07,313,-,null,-,null,-,null,99,103,111,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Yarmouth Elementary School
1190,Yarmouth Schools,1456,Frank H Harrison Middle School,null,2006-07,426,-,null,-,null,-,null,null,null,null,102,115,96,113,null,null,null,null,2006-2007.csv,9/1/06,Frank H Harrison Middle School
1191,York Public Schools,1458,York Middle School,null,2006-07,605,-,null,-,null,-,null,null,null,null,138,159,155,153,null,null,null,null,2006-2007.csv,9/1/06,York Middle School
1191,York Public Schools,1459,York High School,null,2006-07,669,-,null,-,null,-,null,null,null,null,null,null,null,null,173,137,181,178,2006-2007.csv,9/1/06,York High School
1191,York Public Schools,1460,Coastal Ridge Elementary,null,2006-07,306,-,null,-,null,-,null,null,153,153,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Coastal Ridge Elementary
1196,RSU 79/MSAD 01,1463,Eva Hoyt Zippel School,null,2006-07,347,-,null,-,null,-,null,null,112,113,122,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Eva Hoyt Zippel School
1196,RSU 79/MSAD 01,1465,Presque Isle Middle School,null,2006-07,446,-,null,-,null,-,null,null,null,null,null,134,163,149,null,null,null,null,2006-2007.csv,9/1/06,Presque Isle Middle School
1196,RSU 79/MSAD 01,1466,Presque Isle High School,null,2006-07,648,-,null,-,null,-,null,null,null,null,null,null,null,null,187,168,154,139,2006-2007.csv,9/1/06,Presque Isle High School
1197,RSU 03/MSAD 03,1475,Mt View High School,null,2006-07,487,-,null,-,null,-,null,null,null,null,null,null,null,null,126,119,126,116,2006-2007.csv,9/1/06,Mt View High School
1197,RSU 03/MSAD 03,1477,Mt View Middle School,null,2006-07,240,-,null,-,null,-,null,null,null,null,null,null,112,128,null,null,null,null,2006-2007.csv,9/1/06,Mt View Middle School
