Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
$350 ,Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,9/27/12,,,,Maine Ethics Commission
$100 ,Charting Maine's Future,MASON GARRETT PAUL,Heather W Sirocki,PAC,10/29/12,,,,Maine Ethics Commission
$350 ,Charting Maines Future,MASON GARRETT PAUL,Ms. Ruth A Summers,PAC,10/29/12,,,,Maine Ethics Commission
$350 ,Charting Maine's Future,MASON GARRETT PAUL,Christopher Michael Tyll,PAC,11/1/12,,,,Maine Ethics Commission
$350 ,Charting Maine's Future,MASON GARRETT PAUL,Leslie T Fossel,PAC,11/2/12,,,,Maine Ethics Commission
$150 ,Charting Maine's Future,MASON GARRETT PAUL,Heather W Sirocki,PAC,11/4/12,,,,Maine Ethics Commission
$350 ,Charting Maines Future,MASON GARRETT PAUL,Alexander R Willette,PAC,11/4/12,,,,Maine Ethics Commission
$200 ,Charting Maine's Future,MASON GARRETT PAUL,Paul R Lepage,PAC,7/2/13,,,,Maine Ethics Commission
$425 ,Charting Maine's Future Pac,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,7/16/13,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,David C Burns,PAC,1/7/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,1/7/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Brian D Langley,PAC,1/8/14,,,,Maine Ethics Commission
$250 ,Charting Maine's Future,MASON GARRETT PAUL,Maine Wildlife Conservation Council Bqc,PAC,1/17/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Patricia J Gagne,PAC,1/28/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Patricia J Gagne,PAC,1/28/14,,,,Maine Ethics Commission
$250 ,Charting Maine's Future,MASON GARRETT PAUL,Michael J Willette,PAC,1/30/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Honorable Douglas Andrew Thomas,PAC,5/1/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Amy F Volk,PAC,5/7/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Leslie T Fossel,PAC,5/12/14,,,,Maine Ethics Commission
$200 ,Charting Maine's Future,MASON GARRETT PAUL,James W Booth,PAC,5/17/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,5/20/14,,,,Maine Ethics Commission
($375),Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,5/20/14,,,,Maine Ethics Commission
$175 ,Charting Maine's Future,MASON GARRETT PAUL,Michael J Willette,PAC,5/29/14,,,,Maine Ethics Commission
($375),Charting Maine's Future,MASON GARRETT PAUL,Paula G Sutton,PAC,5/29/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Paula G Sutton,PAC,5/29/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Paula G Sutton,PAC,5/29/14,,,,Maine Ethics Commission
$375 ,Charting Maines Future,MASON GARRETT PAUL,Cary M Weston,PAC,5/29/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Eric L Brakey,PAC,6/10/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Eric L Brakey,PAC,6/10/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Paul T Davis,PAC,6/11/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,David C Burns,PAC,8/12/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Garrett Paul Mason,PAC,8/12/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Paula G Sutton,PAC,8/12/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Amy F Volk,PAC,8/13/14,,,,Maine Ethics Commission
$325 ,Charting Maine's Future,MASON GARRETT PAUL,Michael J Willette,PAC,8/13/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Leslie T Fossel,PAC,8/14/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Brian D Langley,PAC,8/18/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Ronald F Collins,PAC,8/22/14,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Michael D Thibodeau,PAC,9/2/14,,,,Maine Ethics Commission
"$3,000 ",Charting Maine's Future,MASON GARRETT PAUL,Paving The Way For A Prosperous Maine,PAC,10/7/14,,,,Maine Ethics Commission
$500 ,Charting Maine's Future,MASON GARRETT PAUL,Paving The Way For A Prosperous Maine,PAC,10/22/14,,,,Maine Ethics Commission
"$2,000 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,10/29/14,,,,Maine Ethics Commission
"$1,000 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Senate Republican Majority,PAC,10/31/14,,,,Maine Ethics Commission
$475 ,Charting Maine's Future,MASON GARRETT PAUL,Respect Maine,PAC,11/24/14,,,,Maine Ethics Commission
$100 ,Charting Maine's Future,MASON GARRETT PAUL,Respect Maine,PAC,11/24/14,,,,Maine Ethics Commission
$100 ,Charting Maine's Future (sen. Garrett Mason),MASON GARRETT PAUL,James M Kalloch,PAC,1/29/15,,,,Maine Ethics Commission
$300 ,Charting Maines Future,MASON GARRETT PAUL,Mainers Against Welfare For Politicians,PAC,11/2/15,,,,Maine Ethics Commission
$375 ,Charting Maine's Future,MASON GARRETT PAUL,Jeffrey Lloyd Timberlake,PAC,5/17/16,,,,Maine Ethics Commission
$375 ,Charting Maine's Future Pac,MASON GARRETT PAUL,Gina M Mason,PAC,5/17/16,,,,Maine Ethics Commission
